rank_test_score,param_lgbm__learning_rate,param_lgbm__max_depth,param_lgbm__n_estimators,param_lgbm__subsample,param_lgbm__colsample_bytree,param_lgbm__reg_alpha,param_lgbm__reg_lambda,train_rmse,test_rmse
57,0.1,7,300,0.7,1.0,0.3,0.3,0.12642067514520386,0.4518460161119112
57,0.1,7,300,1.0,1.0,0.3,0.3,0.12642067514520386,0.4518460161119112
59,0.1,9,200,0.7,1.0,0.3,0.1,0.1455311323421619,0.45190509274715757
59,0.1,9,200,1.0,1.0,0.3,0.1,0.1455311323421619,0.45190509274715757
61,0.1,-1,200,1.0,0.7,0.3,0.1,0.1361553000452461,0.45197116587145486
61,0.1,-1,200,0.7,0.7,0.3,0.1,0.1361553000452461,0.45197116587145486
63,0.1,-1,200,0.7,1.0,0.0,0.3,0.1307959635784187,0.452247131383739
63,0.1,-1,200,1.0,1.0,0.0,0.3,0.1307959635784187,0.452247131383739
65,0.05,-1,300,1.0,0.7,0.3,0.0,0.16105860169496683,0.452359606978422
65,0.05,-1,300,0.7,0.7,0.3,0.0,0.16105860169496683,0.452359606978422
67,0.1,7,300,0.7,1.0,0.1,0.3,0.1331934613974713,0.45239638024623446
67,0.1,7,300,1.0,1.0,0.1,0.3,0.1331934613974713,0.45239638024623446
69,0.2,9,200,0.7,0.7,0.0,0.3,0.10129872083466275,0.4525082048764266
69,0.2,9,200,1.0,0.7,0.0,0.3,0.10129872083466275,0.4525082048764266
71,0.2,9,300,0.7,0.7,0.0,0.3,0.08742101986378964,0.452540460216397
71,0.2,9,300,1.0,0.7,0.0,0.3,0.08742101986378964,0.452540460216397
73,0.1,-1,300,0.7,1.0,0.1,0.1,0.1029587561636328,0.45257558266897663
73,0.1,-1,300,1.0,1.0,0.1,0.1,0.1029587561636328,0.45257558266897663
75,0.1,7,300,1.0,0.7,0.1,0.1,0.13292820332308067,0.4525760648602925
75,0.1,7,300,0.7,0.7,0.1,0.1,0.13292820332308067,0.4525760648602925
77,0.1,9,300,0.7,0.7,0.1,0.3,0.11835188993405725,0.4525766513592341
77,0.1,9,300,1.0,0.7,0.1,0.3,0.11835188993405725,0.4525766513592341
79,0.1,9,300,1.0,1.0,0.1,0.0,0.1142866414657876,0.45261244132610723
79,0.1,9,300,0.7,1.0,0.1,0.0,0.1142866414657876,0.45261244132610723
81,0.05,-1,300,0.7,1.0,0.0,0.1,0.15665026970505655,0.45269192216076537
81,0.05,-1,300,1.0,1.0,0.0,0.1,0.15665026970505655,0.45269192216076537
83,0.1,7,300,1.0,1.0,0.3,0.0,0.12519691420492998,0.4526993392186932
83,0.1,7,300,0.7,1.0,0.3,0.0,0.12519691420492998,0.4526993392186932
85,0.2,-1,300,1.0,1.0,0.3,0.1,0.08622388055054873,0.45279059588536297
85,0.2,-1,300,0.7,1.0,0.3,0.1,0.08622388055054873,0.45279059588536297
87,0.1,9,200,1.0,1.0,0.1,0.1,0.14730970358283943,0.45282662504255977
87,0.1,9,200,0.7,1.0,0.1,0.1,0.14730970358283943,0.45282662504255977
89,0.05,-1,300,0.7,0.7,0.0,0.3,0.1611044268995489,0.45283907036345483
