rank_test_score,param_xgb__n_estimators,param_xgb__max_depth,param_xgb__learning_rate,param_xgb__subsample,param_xgb__colsample_bytree,param_xgb__lambda,param_xgb__alpha,train_rmse,test_rmse
218,500,5,0.3,1.0,0.7,0.5,0.5,0.3101684315019695,0.6627831139230906
219,500,9,0.1,1.0,1.0,0.5,0.0,0.2427270892725369,0.6629818562354214
220,200,7,0.1,0.7,0.7,0.5,0.0,0.4298695975675602,0.6630773758846951
221,500,5,0.1,1.0,0.7,1.0,0.5,0.46696289083691306,0.6630778260624676
222,500,10,0.01,0.7,1.0,1.0,0.0,0.42049405586995714,0.6631283716677946
223,500,9,0.1,0.7,1.0,0.5,0.5,0.2664164747996513,0.6632132341646405
224,500,10,0.01,0.7,1.0,1.0,0.5,0.42726026894271335,0.6632212584467786
225,500,10,0.1,1.0,0.7,1.0,0.0,0.23818737228526524,0.6634932641976057
226,500,6,0.05,1.0,0.7,0.5,0.5,0.47610319004894763,0.6635258953329359
227,500,6,0.05,0.7,0.7,1.0,0.5,0.47357010557768753,0.6635898241051006
228,500,6,0.05,0.7,1.0,0.5,0.5,0.46430924816746466,0.6635931324477885
229,500,5,0.3,1.0,1.0,1.0,0.5,0.30707343651103525,0.6637281465841742
230,200,6,0.2,1.0,1.0,1.0,0.0,0.4046445026551309,0.6638126350546825
231,500,10,0.01,1.0,1.0,1.0,0.0,0.39937390991883737,0.6638721335368682
232,200,9,0.2,1.0,0.7,1.0,0.0,0.2513147937273077,0.6638827636994239
233,500,5,0.1,0.7,1.0,1.0,0.5,0.45898575644837,0.6639121061891924
234,200,7,0.1,0.7,0.7,1.0,0.0,0.4337928293054167,0.664001947755679
235,500,6,0.05,0.7,0.7,0.5,0.5,0.47002178316477083,0.6640215025357672
236,500,5,0.1,1.0,1.0,1.0,0.5,0.46375815524136116,0.6640529075654898
237,500,5,0.3,1.0,1.0,0.5,0.5,0.30466298009392273,0.6640603752068268
238,500,9,0.1,0.7,0.7,0.5,0.0,0.27567250134433247,0.6640605045264827
239,200,7,0.1,0.7,1.0,1.0,0.0,0.4294414807975037,0.6641387144195339
240,500,5,0.1,0.7,0.7,1.0,0.5,0.46545930138762415,0.6641915635487783
241,500,5,0.1,1.0,1.0,0.5,0.5,0.45908313963612274,0.6642059390094172
242,500,5,0.1,1.0,0.7,1.0,0.0,0.4663493532387005,0.6643129740561816
243,500,5,0.1,1.0,1.0,0.5,0.0,0.4610242102720872,0.6643766785109562
244,500,10,0.1,0.7,0.7,0.5,0.5,0.2551335292962596,0.6643989084544637
245,500,10,0.1,0.7,0.7,1.0,0.0,0.2625688799259259,0.6644411417178734
246,500,10,0.1,0.7,1.0,1.0,0.5,0.2552607182422405,0.6644870900775148
247,500,10,0.01,1.0,1.0,0.5,0.0,0.3890526958527457,0.6645343266981786
248,500,10,0.1,1.0,0.7,0.5,0.0,0.23780614212193213,0.6645543084186858
249,200,6,0.2,1.0,0.7,1.0,0.0,0.4093551158977732,0.6645752304860771
250,500,6,0.05,1.0,0.7,1.0,0.5,0.4797417108477181,0.6647347822394739
