rank_test_score,param_gbr__n_estimators,param_gbr__max_depth,param_gbr__learning_rate,param_gbr__max_features,param_gbr__subsample,train_rmse,test_rmse
241,500,5,0.05,1,1.0,0.7316691337562218,0.7971865428714012
242,500,4,0.1,1,0.5,0.7340032037093523,0.7979271802545171
243,200,4,0.05,0.5,0.75,0.7532358110536265,0.7992925505830288
244,200,7,0.05,1,0.5,0.7221780835950568,0.8000841042033706
245,500,5,0.01,0.5,0.75,0.7545099670833518,0.8014642256933474
246,100,7,0.1,1,1.0,0.7181778181050001,0.8020730604711293
247,500,5,0.05,1,0.5,0.7377354695370417,0.8023579505135645
248,100,4,0.1,0.5,0.75,0.7573458775060575,0.8025609189728835
249,200,4,0.05,0.5,0.5,0.7560225066531334,0.80263219436477
250,100,5,0.05,0.5,1.0,0.7569473220203623,0.80296221502765
251,200,4,0.05,0.5,1.0,0.7593443935174469,0.8030794122193674
252,100,7,0.1,1,0.75,0.720744555872957,0.8034127998243444
253,500,5,0.01,0.5,0.5,0.7575792301610089,0.8040444206048692
254,200,4,0.05,0.25,0.75,0.7630351967587848,0.8049466142188842
255,100,4,0.1,0.5,0.5,0.7597424275939338,0.8061166174185029
256,100,7,0.1,1,0.5,0.727033098050965,0.8076429985546881
257,200,4,0.05,0.25,0.5,0.7648244032138793,0.8078530931963298
258,200,3,0.1,0.5,0.5,0.765472812777121,0.8080829379053379
259,200,3,0.1,0.5,0.75,0.7655448180337117,0.8081998643481783
260,200,4,0.05,0.25,1.0,0.7684928121291681,0.8086597684205508
261,100,4,0.1,0.25,1.0,0.767724780295768,0.8092498885788378
262,500,5,0.01,0.25,1.0,0.7662593214476426,0.8093618458884326
263,500,5,0.01,0.25,0.75,0.7655996370405743,0.8094777931960315
264,100,5,0.05,0.25,1.0,0.7671073036207562,0.8099874593810896
265,100,5,0.05,0.25,0.75,0.7667549904376362,0.8101513024001726
266,500,5,0.01,0.25,0.5,0.7683277080381766,0.8114084559546312
267,200,3,0.1,0.5,1.0,0.7721809801992285,0.8123685446417518
268,100,5,0.05,0.25,0.5,0.769393212896151,0.8132230570423638
269,100,4,0.1,0.25,0.5,0.7704609534633293,0.8137837818054408
270,200,7,0.01,0.5,1.0,0.7542230233939204,0.8141712277668041
271,500,3,0.05,sqrt,0.5,0.7758550641064377,0.8148319312760838
272,200,3,0.1,0.25,1.0,0.7803829777778978,0.8169918753672057
273,200,7,0.01,0.25,1.0,0.765784648518813,0.8215406387916349
