composition,band_gap
As2Br6F12,1.6074
As2I6,2.20542
As2F12I6,1.331
As2F12I10,1.3823
As2Cl6F12S6,0.4164
As2F12N4S6,0.5931
As2F10N8S8,1.7515
As2F12I2Se12,1.5593
As2C2F22N4S6,3.2564
As2C6N6,4.474399999999999
As2O6Pb1,2.1285
As2F14Pb2,4.2098
As2O6Pd1,1.7308666666666666
As2F22H2N2S2Xe2,2.5161
As2H2O8Pb2,2.988
As2F20H4N2S2,4.6321
As2F12H6O2,4.8233
As2C2F18H6N2O2,4.7431
As2C2F12H10O2,5.0189
As2H12N2O8,4.116728571428572
As2C6H12N2,4.3658
As3H5O10,3.0051
As4F12,5.158
As4Cl4F32O4,2.9388
As4Cl8F12,2.83
As4Cl12,4.0120000000000005
As4Cl12O4,2.4946
As4N36,3.333
As4F28Kr4,2.45
As4Br12,3.0841000000000003
As4F48I4,0.5966
As4O12S2,4.38375
As4F36O4S4,3.9099
As4Cl12F24S4,3.7733
As4Br12F24S4,2.5125
As4F24I8S4,1.2169
As4F24N4S6,2.1865
As4F24N8S12,1.5055
As4Cl12F24Se4,3.7154
As4I4Se4,1.3092
As4F24N4S2Se4,2.2554
As4Se6,0.6036
As4F24N4Se6,2.3191
As4C4Cl8F36S4,3.8069
As4C4F20N8O4S8,2.8336
As4C8F24N4O8,4.6428
As4F36Pb2Xe6,2.5425
As4O16Pb6,3.2962
As4Pb9S15,1.5735
As4O26Pb16,2.1165
As4Ru2,0.4791
As4Os2,0.89095
As4C8F24H20O8,3.0572
As4H24N4O16,3.5085
As4F20H24N8,2.6773
As4C12H40I4,3.5779
As4Br6F22H2P2,3.4878
As4O16P4,4.5587
As4O20P4,2.0142
As4Cl12F20O4P4,4.4791
As6Cl2O18Pb10,2.495875
As6Cl2O24Pb10,3.057433333333333
As8O12,3.80921
As8O16,3.3407
As8O20,1.4118333333333333
As8Cl12F20O4,3.2887
As8S8,2.061173333333333
As8O36S8,4.039
As8S10,1.9759
As8S12,2.0006
As8O48S12,4.5701
As8S16,1.3229
As8Se12,1.3414
As8C8F24,3.3073
As8O44W8,2.8582
As8O16Pb4,2.8502
As8Cl8O16Pb8,3.3329
As8Rh4,0.21422
As8Pt4,0.168075
As8Ir4,0.743225
As8P8S28,2.6363
As16S12,2.37868
As16S16,2.1213871794871797
As16S18,1.7363
As16Se12,1.667
As16Se16,0.7020749999999999
F3Mo1,1.7371
F6Mo1,4.1005
Mo1S2,1.2
Mo1Se2,1.0333
F6Mo2,2.4997
Mo2O6,1.8315
Cl6Mo2,0.71865
Cl8Mo2O2,1.4916
