composition,band_gap
Ba2Nb1Rh1O6,0.8889
Ba4Nd4Si8O26,5.046200000000001
Ba2Nd1Bi1O6,1.683
Ba4Nd2Ga2Se10,1.6574
Ba4Nd2In2Se10,1.0692
Ba2Nd1Nb1O6,2.987299999999999
Ba2Nd1Pa1O6,3.4662
Ba2Nd1Ru1O6,0.1501
Ba2Nd1Sb1O6,3.7321
Ba2Nd1Ta1O6,3.4981
Ba2Nd1U1O6,0.897999999999999
Ba8Nd4W4O24,1.7938
Ba8Ni4P8O32,4.0996
Ba4Ni2Mo2O12,2.3514
Ba4Ni2W2O12,3.3409
Ba8P8O28,5.3745
Ba4P14Br2,1.6528
Ba4P14I2,1.766299999999999
Ba2P1Cl1,1.2602
Ba8P4I4O16,4.378
Ba2Pa1In1O6,3.3095
Ba8Pb4,0.028799999999999
Ba2Pb1O4,1.2232
Ba4Pd2F12,1.7554
Ba2Pr1Bi1O6,1.759999999999999
Ba4Pr2Nb2O12,2.9791
Ba2Pr1Pa1O6,3.4661
Ba4Pr2Ru2O12,0.1636
Ba2Pr1Sb1O6,3.711999999999999
Ba2Pr1Ta1O6,3.4861
Ba2Pu1Pb1O6,0.437999999999999
Ba2Pu1Zn1O6,0.6585000000000001
Ba4Re12S22,1.338499999999999
Ba8Sb8O20,2.5904
Ba16Sb24,0.3248
Ba4Sc4O10,2.851399999999999
Ba2Sc1Cu1O4,2.0282
Ba2Sc1Nb1O6,2.5719000000000003
Ba2Sc1O3F1,3.5461
Ba2Sc1Pa1O6,3.3981
Ba2Sc1Ta1O6,3.0173
Ba2Sc1U1O6,0.8326000000000001
Ba8Si12Ag4,0.051099999999999
Ba8Si12O32,4.8327
Ba4Si10N16,2.881599999999999
Ba8Si4O16,4.6319
Ba8Si4S16,3.0012
Ba4Si2Se8,2.278399999999999
Ba4Si2Te8,1.1029
Ba8Sm4Bi4O24,2.4961
Ba4Sm2Ga2Se10,1.7080000000000002
Ba2Sm1Mo1O6,0.9085
Ba8Sm4Nb4O24,2.907499999999999
Ba2Sm1Os1O6,0.0705
Ba2Sm1Pa1O6,3.4592
Ba2Sm1Sb1O6,3.605399999999999
Ba2Sm1Ta1O6,3.3634
Ba2Sm1U1O6,0.8488999999999991
Ba8Sm4W4O24,1.7704
Ba2Sn1Hg1,0.0374
Ba2Sn1O4,2.442199999999999
Ba8Sn4S12F8,2.4412000000000003
Ba8Sn4S16,1.955099999999999
Ba8Sn4Se12F8,2.0002
Ba8Sn4Se16,1.264599999999999
Ba32Sn16Se80,1.0872
Ba2Sr1Se1O6,2.3123
Ba2Sr1Te1O6,3.129199999999999
Ba4Sr2U2O12,2.2855
Ba2Sr1W1O6,3.2504
Ba4Ta4O14,2.9471
Ba2Ta6Te2O21,2.8259
Ba2Ta1Bi1O6,2.536299999999999
Ba8Ta4Cr4O24,2.2009
Ba4Ta2Fe2O12,1.862299999999999
Ba2Ta1In1O6,3.945899999999999
Ba8Ta4N12,2.0155
Ba2Ta1Tl1O6,2.241
Ba2Tb1Bi1O6,1.7302
Ba2Tb1Nb1O6,2.9923
Ba2Tb1Pa1O6,3.464899999999999
Ba2Tb1Sb1O6,3.507199999999999
Ba2Tb1Ta1O6,3.512799999999999
Ba2Tb1W1O6,1.6795
Ba4Te2O2,1.783
Ba4Te2P4O18,3.4372
