rank_test_score,param_ridge__alpha,param_nystroem__n_components,train_rmse,test_rmse
176,0.8500000000000001,1000,0.49319243834789434,0.5844032864414379
177,0.45,600,0.4990540827424491,0.5846007119547011
178,0.9500000000000001,1200,0.4924289088703015,0.5849113653837464
179,0.7000000000000001,800,0.49467860733709584,0.5861298547666227
180,0.9000000000000001,1000,0.4967175519870854,0.5861670211787806
181,1.0,1200,0.49584621910278254,0.5866312322911759
182,0.5,600,0.5032987754994227,0.5867368455174581
183,0.9500000000000001,1000,0.5000824375349459,0.5878697019633318
184,0.7500000000000001,800,0.4983978639423423,0.5879690645682852
185,0.55,600,0.5072672436561663,0.5887709995470953
186,1.0,1000,0.5033015994630757,0.5895159294368445
187,0.8,800,0.5019284975652315,0.5897355989973654
188,0.6000000000000001,600,0.5109954235754673,0.5907123655281182
189,0.8500000000000001,800,0.5052897396272923,0.591435739536954
190,0.6500000000000001,600,0.514512523751839,0.5925693237140052
191,0.9000000000000001,800,0.5084979528016021,0.5930750146838539
192,0.7000000000000001,600,0.5178426280111401,0.5943493946167928
193,0.9500000000000001,800,0.5115671851719478,0.5946583078075065
194,0.05,400,0.5037986888223048,0.5956752606716911
195,0.7500000000000001,600,0.5210058444283888,0.5960592778547291
196,1.0,800,0.5145095949593729,0.5961899484068537
197,0.1,400,0.5094837337534336,0.5962750143071797
198,0.8,600,0.5240191465756802,0.5977049247523208
199,0.15000000000000002,400,0.5146592280322013,0.5977100868395658
200,0.8500000000000001,600,0.5268970013509471,0.5992916200313134
201,0.2,400,0.5193530775205305,0.5993798301663134
202,0.9000000000000001,600,0.5296518455615288,0.6008240615135763
