rank_test_score,param_learning_rate,param_max_depth,param_n_estimators,param_colsample_bytree,param_subsample,train_rmse,test_rmse
211,0.01,4,500,0.7,0.5,0.4637818044141804,0.625650233829097
212,0.2,10,500,0.7,1.0,0.012307589891673368,0.626206444822827
213,0.2,10,200,0.7,1.0,0.0123075902766709,0.6262064449212468
214,0.5,4,500,0.7,1.0,0.012392437955909394,0.6276217800232233
215,0.01,10,200,1.0,0.7,0.3191345085285764,0.6276983771784285
216,0.01,4,500,0.5,1.0,0.45208514232400415,0.6277279400437973
217,0.01,10,500,1.0,1.0,0.06357050954104176,0.6278201612623721
218,0.01,4,500,0.7,1.0,0.4479693936409655,0.6281227390041673
219,0.5,4,200,0.7,1.0,0.03716215867308467,0.6281603133586061
220,0.01,4,500,0.5,0.5,0.4696730197424375,0.6288283648723981
221,0.01,10,200,0.7,0.7,0.3237823235120103,0.629390407930194
222,0.01,4,500,1.0,1.0,0.44304799276251167,0.6298853728908936
223,0.01,10,200,0.5,1.0,0.27481337213883156,0.6300700866580994
224,0.5,5,500,1.0,1.0,0.012301057577799803,0.6307129843964001
225,0.5,5,200,1.0,1.0,0.013396475422659348,0.6307189547960033
226,0.01,10,200,0.5,0.7,0.3289212606347258,0.6324039397646171
227,0.5,3,200,0.7,1.0,0.12067551606754513,0.6337101068796404
228,0.2,10,200,1.0,1.0,0.012307240225553677,0.6339773353545475
229,0.2,10,500,1.0,1.0,0.012307240002270362,0.6339773359332934
230,0.5,3,500,0.7,1.0,0.030679021713735287,0.6341348352412375
231,0.5,3,200,0.5,1.0,0.1271772348778863,0.6353820720310459
232,0.01,10,200,1.0,0.5,0.37772729174394937,0.6353958435196966
233,0.5,7,500,1.0,1.0,0.012291568293592868,0.6356861340801464
234,0.5,7,200,1.0,1.0,0.012291568224415544,0.6356861348859216
235,0.01,10,200,0.7,1.0,0.2697527512942045,0.635795153216086
236,0.5,3,200,0.7,0.7,0.14382256103600866,0.6376556007440004
237,0.01,7,200,1.0,0.7,0.4046769991955809,0.6380238759276465
238,0.5,4,200,0.5,1.0,0.04009368132796413,0.638213719142823
239,0.5,4,500,0.5,1.0,0.012481029333579571,0.6384131275146065
240,0.5,3,500,0.5,1.0,0.033933013649039376,0.6389033685673554
241,0.5,5,500,0.5,1.0,0.012304238066327283,0.6389236945241646
242,0.01,10,200,0.5,0.5,0.3856237505423145,0.6389483175659919
243,0.5,5,200,0.5,1.0,0.014115123250899048,0.6390307494579534
244,0.01,10,200,0.7,0.5,0.38106073216875713,0.6392140682635034
245,0.5,4,200,0.7,0.7,0.051503814142831415,0.6393212280454098
246,0.01,7,200,0.5,1.0,0.3835613791392464,0.6398445366435278
247,0.01,7,200,0.7,1.0,0.3772873057080325,0.6399185174806478
248,0.5,10,200,0.5,1.0,0.012284370223534144,0.640115956922413
249,0.5,10,500,0.5,1.0,0.012284370080261179,0.6401159573959356
250,0.5,4,500,0.7,0.7,0.01707206999917305,0.6402727692927381
251,0.5,7,500,0.5,1.0,0.012290037281098344,0.6405350506958923
252,0.5,7,200,0.5,1.0,0.012290037147972067,0.6405350513357702
253,0.01,7,200,0.7,0.7,0.4113126767668146,0.6412437372646771
254,0.5,3,500,0.7,0.7,0.04687133537686193,0.6419962328030487
255,0.5,4,200,1.0,0.7,0.048384024214370804,0.6426212907355336
256,0.5,4,500,1.0,0.7,0.01671085244734685,0.6431973723191682
257,0.5,7,500,0.7,1.0,0.012286707520663161,0.6444011421487343
258,0.5,7,200,0.7,1.0,0.012286707325093443,0.6444011435229149
259,0.5,4,200,1.0,1.0,0.03390362187382856,0.6446023603587664
260,0.01,7,200,0.5,0.7,0.41844829477649437,0.6449933178085382
261,0.5,4,500,1.0,1.0,0.012358997752498654,0.645193273520387
262,0.01,7,200,1.0,0.5,0.4446693876803045,0.6464144515368898
263,0.01,7,200,1.0,1.0,0.3747142130148142,0.6467625771933627
264,0.5,5,200,1.0,0.7,0.01956603818173356,0.6470216502980771
265,0.5,5,500,1.0,0.7,0.013217239910332636,0.6472060577997696
266,0.01,7,200,0.7,0.5,0.4492041006608954,0.6495258962919114
267,0.01,7,200,0.5,0.5,0.45603548883913403,0.6501705761754545
268,0.5,10,500,1.0,1.0,0.012280959611168747,0.6532315402409057
269,0.5,10,200,1.0,1.0,0.01228095961292511,0.6532315403853842
270,0.01,3,500,1.0,0.5,0.5476208063700254,0.6559282230250864
271,0.01,3,500,0.7,0.7,0.546465495500857,0.6562239976869779
272,0.01,3,500,1.0,0.7,0.543051456451581,0.6564527621137436
273,0.01,3,500,0.7,0.5,0.5528328224194574,0.6579242726717225
274,0.5,10,500,0.7,1.0,0.012282906615957764,0.6584071870533933
275,0.5,10,200,0.7,1.0,0.012282906581043255,0.6584071870838053
276,0.5,4,500,0.5,0.7,0.017526224323772013,0.65866550813445
277,0.01,3,500,0.5,0.7,0.5517730567495679,0.6587509395755105
278,0.5,4,200,0.5,0.7,0.05687450033001893,0.6598528649776766
279,0.01,3,500,0.5,0.5,0.5574444366872795,0.6604171553214432
280,0.5,3,500,1.0,0.7,0.04404055866011779,0.6641748619516906
